subject_id,sleep_date,lifelog_date,label__Q1,label__Q2,label__Q3,label__S1,label__S2,label__S3,label__S4,Q1,Q2,Q3,S1,S2,S3,S4
id01,2024-06-27,2024-06-26,0,0,0,0,0,1,0,0.05274747067187501,0.5484363106847386,0.5994621593575827,0.278173552543921,0.5587845422964994,0.7570785007171074,0.5358021024023633
id01,2024-06-28,2024-06-27,0,0,0,0,1,1,1,0.3744831197506964,0.560532495322067,0.6195575036785201,0.45884271629468276,0.6025594062877656,0.7570785007171074,0.5391045881313324
id01,2024-06-29,2024-06-28,1,0,0,1,1,1,1,0.6673269584321082,0.5551610858829059,0.6207567397230533,0.8077348324287151,0.6666482268030081,0.7570785007171074,0.5926862134485009
id01,2024-06-30,2024-06-29,1,0,1,1,0,0,0,0.7695707869632769,0.5647556177485892,0.6189356431464227,0.9116739926013396,0.6268887825624135,0.7570785007171074,0.5021135124101701
id01,2024-07-01,2024-06-30,0,1,1,1,1,1,1,0.4384489650019909,0.5783349819024729,0.6289629479284655,0.4857295252447806,0.584113684195411,0.7570785007171074,0.5015580214864075
id01,2024-07-02,2024-07-01,0,1,1,0,1,1,0,0.3001611661269575,0.5653220799471754,0.6201449521999769,0.5605963515906592,0.6144677084942625,0.7570785007171074,0.5274529029702069
id01,2024-07-03,2024-07-02,0,0,1,1,0,1,0,0.493619836432978,0.5640688619337995,0.6250012929192197,0.715135609994562,0.6365793238441704,0.7570785007171074,0.575669264490148
id01,2024-07-04,2024-07-03,0,0,0,1,0,1,0,0.22937345343774698,0.5435055770232821,0.6140450746650097,0.35548899305848286,0.6224361590072731,0.7570785007171074,0.5108701198948777
id01,2024-07-05,2024-07-04,0,0,1,0,0,1,0,0.1673728688273651,0.5782839489768183,0.6217078728789652,0.3691289465377443,0.552435107966927,0.7570785007171074,0.5129982779979787
id01,2024-07-06,2024-07-05,1,1,1,1,1,1,1,0.8091392711841277,0.39636903434319004,0.5819197028351581,0.8482322326336613,0.5900918390492778,0.7652136295632846,0.507604723060839
id01,2024-07-07,2024-07-06,1,1,1,0,0,1,0,0.6311314872167919,0.4220022654197745,0.5813860406187975,0.8463442223115522,0.5897438789767935,0.7652136295632846,0.5160111511011428
id01,2024-07-08,2024-07-07,0,1,1,1,0,0,0,0.15321016925909234,0.42666917174962465,0.5780337774785589,0.32461867285352125,0.575378640042955,0.7652136295632846,0.4886257073976612
id01,2024-07-09,2024-07-08,1,0,0,1,1,1,1,0.3909199360115678,0.41860009893489136,0.5822935728632977,0.5307409732142095,0.5881281910510919,0.7652136295632846,0.516768287848102
id01,2024-07-10,2024-07-09,1,1,1,1,1,1,0,0.3619905807483889,0.41608913617146465,0.5799255780619199,0.7417055117075383,0.5559331705650374,0.7652136295632846,0.4950508552303464
