subject_id,sleep_date,lifelog_date,label__Q1,label__Q2,label__Q3,label__S1,label__S2,label__S3,label__S4,Q1,Q2,Q3,S1,S2,S3,S4
id01,2024-06-27,2024-06-26,0,0,0,0,0,1,0,0.052747470671875,0.5665003808467376,0.5994621593575827,0.3034917822457561,0.6023901903907879,0.7251567499389217,0.5358021024023633
id01,2024-06-28,2024-06-27,0,0,0,0,1,1,1,0.3744831197506965,0.5933168583160834,0.6195575036785201,0.4891308646035378,0.6046547722895824,0.8863213321485192,0.5391045881313324
id01,2024-06-29,2024-06-28,1,0,0,1,1,1,1,0.6673269584321082,0.5475641700952943,0.6207567397230533,0.8170424570088937,0.724786670811108,0.8967296379911114,0.5926862134485009
id01,2024-06-30,2024-06-29,1,0,1,1,0,0,0,0.7695707869632769,0.6076259929243267,0.6189356431464227,0.9224055869692933,0.6771476772731556,0.633382377200996,0.5021135124101701
id01,2024-07-01,2024-06-30,0,1,1,1,1,1,1,0.438448965001991,0.6118159931398491,0.6289629479284655,0.5143383480826478,0.6136982337207988,0.8455870684146694,0.5015580214864075
id01,2024-07-02,2024-07-01,0,1,1,0,1,1,0,0.3001611661269575,0.5929744448894447,0.6201449521999769,0.5859135574153296,0.6408687872879097,0.8399096246886326,0.5274529029702067
id01,2024-07-03,2024-07-02,0,0,1,1,0,1,0,0.493619836432978,0.6100779278616466,0.6250012929192197,0.7347592001847081,0.6892621803551441,0.8425741404436704,0.575669264490148
id01,2024-07-04,2024-07-03,0,0,0,1,0,1,0,0.229373453437747,0.5427343973262175,0.6140450746650097,0.3732287432340233,0.669086927813035,0.7467449749161048,0.5108701198948777
id01,2024-07-05,2024-07-04,0,0,1,0,0,1,0,0.1673728688273651,0.6152009444255654,0.6217078728789652,0.3914776901062844,0.6003846905403522,0.8079572155007197,0.5129982779979787
id01,2024-07-06,2024-07-05,1,1,1,1,1,1,1,0.8091392711841277,0.40058518589835546,0.5819197028351581,0.8643762254856537,0.626172879106456,0.7730485600853867,0.507604723060839
